Frame_Number,Object_Info,Keypoint_15_X,Keypoint_15_Y,Keypoint_16_X,Keypoint_16_Y
222,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 736, 'Center_Y': 788, 'Status': 'Moving'}"
223,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 726, 'Center_Y': 789, 'Status': 'Moving'}"
224,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 718, 'Center_Y': 789, 'Status': 'Moving'}"
225,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 709, 'Center_Y': 790, 'Status': 'Moving'}"
226,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 701, 'Center_Y': 790, 'Status': 'Moving'}"
227,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 691, 'Center_Y': 791, 'Status': 'Moving'}"
228,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 685, 'Center_Y': 791, 'Status': 'Moving'}"
229,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 677, 'Center_Y': 792, 'Status': 'Moving'}"
230,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 671, 'Center_Y': 792, 'Status': 'Moving'}"
231,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 664, 'Center_Y': 792, 'Status': 'Moving'}"
232,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 657, 'Center_Y': 794, 'Status': 'Moving'}"
233,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 652, 'Center_Y': 794, 'Status': 'Not Moving'}"
234,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 646, 'Center_Y': 794, 'Status': 'Moving'}"
235,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 640, 'Center_Y': 795, 'Status': 'Moving'}"
236,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 635, 'Center_Y': 795, 'Status': 'Not Moving'}"
237,"{'Object_ID': 2, 'Class': 'bottle', 'Center_X': 631, 'Center_Y': 797, 'Status': 'Not Moving'}"
